City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
129,Hithadhoo,MV,-0.6,73.0833,82.09,73,100,6.93,overcast clouds
130,Vao,NC,-22.6667,167.4833,73.87,89,100,26.15,light rain
131,Preston,GB,53.7667,-2.7167,59.61,94,94,1.74,overcast clouds
132,Tabou,CI,4.423,-7.3528,74.39,72,100,6.91,overcast clouds
133,Pevek,RU,69.7008,170.3133,33.39,91,99,6.76,overcast clouds
134,Nabire,ID,-3.3667,135.4833,82.51,79,25,2.59,scattered clouds
135,Sobolevo,RU,54.4299,31.8996,57.31,84,0,1.45,clear sky
136,Upernavik,GL,72.7868,-56.1549,42.3,95,100,13.13,overcast clouds
137,Souillac,MU,-20.5167,57.5167,68.38,88,40,10.36,scattered clouds
138,New Norfolk,AU,-42.7826,147.0587,57.92,75,100,1.01,overcast clouds
139,Straumen,NO,63.8709,11.2999,51.8,91,49,3.83,scattered clouds
140,Grindavik,IS,63.8424,-22.4338,51.75,100,75,5.75,mist
141,Sandwick,GB,60.0,-1.25,51.62,82,100,3.44,overcast clouds
142,Port Augusta,AU,-32.5,137.7667,65.53,46,0,12.59,clear sky
143,Carnarvon,AU,-24.8667,113.6333,65.95,55,92,5.68,overcast clouds
144,Verkhnevilyuysk,RU,63.4453,120.3167,73.04,64,100,3.0,overcast clouds
145,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,72.09,98,100,1.74,overcast clouds
146,Casa Grande,US,32.8795,-111.7573,110.01,16,73,6.91,broken clouds
147,Honiara,SB,-9.4333,159.95,86.86,61,10,4.59,clear sky
148,Colquechaca,BO,-18.6667,-66.0167,32.83,21,0,0.83,clear sky
149,Saldanha,ZA,-33.0117,17.9442,55.45,79,99,11.5,overcast clouds
150,Santa Cruz,BO,-17.8,-63.1667,72.86,73,2,6.91,clear sky
151,Pecos,US,31.4229,-103.4932,98.69,23,0,18.41,clear sky
152,Pochutla,MX,15.7432,-96.4661,80.82,88,75,3.6,broken clouds
153,Kupang,ID,-10.1667,123.5833,81.99,47,57,11.23,broken clouds
154,Champerico,GT,14.3,-91.9167,81.82,77,99,5.35,overcast clouds
155,Sisimiut,GL,66.9395,-53.6735,48.02,81,100,6.58,overcast clouds
156,Omsukchan,RU,62.5333,155.8,63.75,33,29,8.37,scattered clouds
157,Hamilton,US,39.1834,-84.5333,83.03,71,0,0.0,haze
158,Mehamn,NO,71.0357,27.8492,51.75,82,75,18.41,light rain
