City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
270,Hokitika,NZ,-42.7167,170.9667,47.82,85,100,5.86,overcast clouds
271,San Cristobal,VE,7.7669,-72.225,71.78,97,76,3.11,broken clouds
272,Greeneville,US,36.1632,-82.831,77.92,87,0,0.0,clear sky
273,Barra Patuca,HN,15.8,-84.2833,78.53,89,100,9.33,overcast clouds
274,Erzin,TR,36.9559,36.2,73.24,62,0,1.97,clear sky
275,Ngama,TD,11.7833,17.1667,77.05,79,100,7.92,overcast clouds
276,Kualakapuas,ID,-3.0091,114.3876,84.94,66,26,3.58,scattered clouds
277,Auki,SB,-8.7676,160.7034,85.64,62,2,4.79,clear sky
278,Baruun-Urt,MN,46.6806,113.2792,72.48,44,10,9.17,clear sky
279,Westport,US,41.1415,-73.3579,80.78,86,0,0.0,clear sky
280,Laguna,US,38.421,-121.4238,99.45,24,0,12.66,clear sky
281,Norman Wells,CA,65.282,-126.8329,79.95,31,68,7.83,broken clouds
282,Baraut,IN,29.1,77.2667,82.45,79,90,11.3,overcast clouds
283,High Level,CA,58.5169,-117.136,67.42,49,87,6.71,overcast clouds
284,Puerto Escondido,MX,15.85,-97.0667,83.23,65,75,4.61,broken clouds
285,Isangel,VU,-19.55,169.2667,79.07,75,100,12.17,heavy intensity rain
286,Iskateley,RU,67.6803,53.1512,48.43,94,100,13.0,light rain
287,Qasigiannguit,GL,68.8193,-51.1922,52.05,93,100,5.75,overcast clouds
288,Lasa,IT,46.6166,10.7002,67.37,82,100,2.59,overcast clouds
289,Talaya,RU,61.3833,152.75,67.69,31,4,4.56,clear sky
290,Husavik,IS,66.0449,-17.3389,47.28,92,27,2.71,scattered clouds
291,Raudeberg,NO,61.9875,5.1352,54.27,83,76,19.08,broken clouds
292,Stornoway,GB,58.2093,-6.3865,57.16,90,75,5.75,broken clouds
293,Lulea,SE,65.5842,22.1547,53.67,66,100,10.36,overcast clouds
294,Ilulissat,GL,69.2167,-51.1,51.82,87,100,4.61,drizzle
295,Paamiut,GL,61.994,-49.6678,44.92,85,0,11.56,clear sky
296,Taoudenni,ML,22.6783,-3.9836,96.15,19,6,3.76,clear sky
297,Akdepe,TM,42.0551,59.3788,89.17,34,0,13.27,clear sky
298,Salumbar,IN,24.1333,74.05,78.67,87,100,7.11,overcast clouds
299,Henties Bay,NA,-22.116,14.2845,56.07,89,3,3.76,clear sky
300,Korla,CN,41.7597,86.1469,88.21,18,0,3.04,clear sky
301,Hellin,ES,38.5106,-1.701,74.05,49,0,2.24,clear sky
302,Adrar,MR,20.5022,-10.0711,87.67,45,71,8.21,broken clouds
303,Hambantota,LK,6.1241,81.1185,80.64,78,40,20.02,scattered clouds
304,Magdalena,PH,14.1999,121.429,85.35,66,58,6.2,broken clouds
305,La Palma,US,33.8464,-118.0467,89.92,67,0,10.36,clear sky
306,Chulman,RU,56.8479,124.9104,77.0,51,96,7.47,overcast clouds
307,Naraina,IN,26.7833,75.2,80.44,80,97,3.11,overcast clouds
308,Yar-Sale,RU,66.8333,70.8333,45.43,93,100,13.4,overcast clouds
309,San Vicente,AR,-26.6167,-54.1333,60.46,86,56,3.29,broken clouds
310,Araguacu,BR,-12.9306,-49.8264,73.58,39,15,2.62,few clouds
311,Islamkot,PK,24.6997,70.177,82.83,81,100,14.92,overcast clouds
312,San Jose,US,37.3394,-121.895,84.88,48,20,13.8,few clouds
313,Kailua,US,21.4022,-157.7394,85.98,69,20,14.97,few clouds
314,Mashhad,IR,36.297,59.6062,82.24,25,0,10.04,clear sky
315,Idlib,SY,35.9306,36.6339,70.79,65,0,6.64,clear sky
316,Graham,US,47.0529,-122.2943,75.33,62,0,9.22,clear sky
317,Ancud,CL,-41.8697,-73.8203,41.23,96,100,12.15,light rain
318,Shingu,JP,33.7333,135.9833,83.1,68,36,6.15,scattered clouds
319,Sinjai,ID,-5.1241,120.253,80.42,82,99,6.15,overcast clouds
320,Bluefields,NI,12.0137,-83.7635,76.89,93,100,5.46,overcast clouds
321,Snyder,US,32.7179,-100.9176,91.31,33,0,0.0,clear sky
322,Orlik,RU,52.5178,99.825,52.47,93,100,2.89,moderate rain
323,Pisco,PE,-13.7,-76.2167,60.85,82,40,2.3,scattered clouds
324,Minsk,BY,53.9,27.5667,53.35,84,0,5.88,clear sky
325,Medicine Hat,CA,50.0501,-110.6683,77.22,39,82,1.99,broken clouds
326,Kihei,US,20.785,-156.4656,87.82,81,40,24.16,scattered clouds
327,Gold Coast,AU,-28.0,153.4333,70.16,70,100,19.57,overcast clouds
328,Kamaishi,JP,39.2667,141.8833,77.14,86,70,5.82,broken clouds
329,Port Hardy,CA,50.6996,-127.4199,60.98,77,75,14.97,broken clouds
330,Banda Aceh,ID,5.5577,95.3222,81.16,76,100,1.45,overcast clouds
331,Lillooet,CA,50.6856,-121.942,83.26,35,73,1.72,broken clouds
332,Murakami,JP,38.2333,139.4833,73.31,97,97,13.0,overcast clouds
333,Warmbad,NA,-28.45,18.7333,58.78,36,97,7.0,overcast clouds
334,Severo-Kurilsk,RU,50.6789,156.125,56.19,87,80,8.68,broken clouds
335,Gwanda,ZW,-20.9333,29.0,54.57,67,16,4.9,few clouds
336,Olafsvik,IS,64.8945,-23.7142,53.06,80,10,4.65,clear sky
337,Tarko-Sale,RU,64.9225,77.785,48.81,84,100,13.15,light rain
338,Katima Mulilo,NA,-17.5,24.2667,55.11,65,0,5.21,clear sky
339,Neftcala,AZ,39.3742,49.2472,77.09,68,0,8.81,clear sky
340,Puro,PH,12.4841,123.3827,84.65,74,100,2.53,overcast clouds
341,Sangar,RU,63.9242,127.4739,68.68,64,100,5.86,overcast clouds
342,Nelson Bay,AU,-32.7167,152.15,65.08,66,1,10.0,clear sky
343,Karratha,AU,-20.7377,116.8463,74.62,47,0,9.66,clear sky
344,San Patricio,US,28.017,-97.5169,86.09,73,5,14.29,clear sky
345,Nokaneng,BW,-19.6667,22.2667,55.74,58,3,6.73,clear sky
346,Hasaki,JP,35.7333,140.8333,93.29,72,0,18.14,clear sky
347,Bushenyi,UG,-0.5853,30.2114,60.87,62,41,0.67,scattered clouds
348,Lavrentiya,RU,65.5833,-171.0,47.05,75,95,15.1,overcast clouds
349,Novikovo,RU,51.1537,37.8879,54.82,96,84,7.23,broken clouds
350,Dunedin,NZ,-45.8742,170.5036,49.8,63,14,11.01,few clouds
351,Springbok,ZA,-29.6643,17.8865,47.3,56,100,4.29,overcast clouds
