City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
127,Cape Town,ZA,2022-07-21 23:41:57,-33.9258,18.4232,57.38,82,20,1.14
128,Dingle,PH,2022-07-21 23:43:57,10.9995,122.6711,82.0,85,98,6.15
129,Salta,AR,2022-07-21 23:43:57,-24.7859,-65.4117,61.57,64,0,10.36
130,Guerrero Negro,MX,2022-07-21 23:43:57,27.9769,-114.0611,73.9,62,4,23.69
131,Namatanai,PG,2022-07-21 23:43:58,-3.6667,152.4333,84.0,68,88,5.91
132,Saint-Joseph,RE,2022-07-21 23:43:58,-21.3667,55.6167,64.2,74,35,10.67
133,Nizhniy Odes,RU,2022-07-21 23:43:59,63.6445,54.856,54.81,72,58,4.81
134,Belmonte,BR,2022-07-21 23:43:59,-15.8631,-38.8828,71.28,86,49,4.81
135,Gotera,ET,2022-07-21 23:43:59,8.9821,38.7585,56.32,89,93,2.68
136,Hilo,US,2022-07-21 23:44:00,19.7297,-155.09,84.27,88,100,6.91
137,Korla,CN,2022-07-21 23:44:00,41.7597,86.1469,76.39,32,0,1.3
138,Fort Nelson,CA,2022-07-21 23:44:00,58.8053,-122.7002,65.79,45,75,9.22
139,Itarema,BR,2022-07-21 23:41:42,-2.9248,-39.9167,78.8,75,43,13.35
140,Buraydah,SA,2022-07-21 23:44:01,26.326,43.975,88.25,13,10,4.59
141,Boundiali,CI,2022-07-21 23:44:01,9.5217,-6.4869,73.49,83,93,5.48
142,Acapulco,MX,2022-07-21 23:44:02,16.8634,-99.8901,84.78,75,92,5.48
143,Ribeira Grande,PT,2022-07-21 23:45:02,38.5167,-28.7,73.26,87,17,2.42
144,Port Hardy,CA,2022-07-21 23:45:03,50.6996,-127.4199,60.98,72,20,13.8
145,Bengkulu,ID,2022-07-21 23:45:04,-3.8004,102.2655,75.31,90,69,4.23
146,Solnechnyy,RU,2022-07-21 23:45:05,50.7214,136.6319,55.72,94,98,7.29
147,Pangnirtung,CA,2022-07-21 23:45:05,66.1451,-65.7125,45.91,87,93,1.83
